web-scraper-order,web-scraper-start-url,joblink,joblink-href,Job,company,Location,keyskills,min experince,salary,industry,functional area,role category,role,employement type,ug education ,pg education,job resposibilities,job requirements
"1551715739-3822","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-35","Immediate Onsite Opportunity (australia)-sap Hybris Solution Architect","https://www.naukri.com/job-listings-Immediate-Onsite-Opportunity-australia-sap-Hybris-Solution-Architect-Perisoft-Global-Services-Chennai-7-to-12-years-260219007201?src=premjobsearchDesk&sid=15517156089507&xp=11&px=35","Immediate Onsite Opportunity (australia)-sap Hybris Solution Architect","Perisoft Global Services","Chennai","e - commerce     hybris     hybris developer     hybris software developer     hybris software programmer     hybris software engineer     hybris senior software engineer     hybris senior developer","7 - 12 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","System Design/Implementation/ERP/CRM","Solution Architect / Enterprise Architect","Permanent Job, Full Time","null","null","","null"
"1551718253-4558","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-20","Software Developer (devops)","https://www.naukri.com/job-listings-Software-Developer-devops-NetApp-Bengaluru-5-to-7-years-250219901519?src=premjobsearchDesk&sid=15517182064933&xp=25&px=20","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551714120-3329","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45",".Net & Angular Developer","https://www.naukri.com/job-listings-Net-Angular-Developer-SYVEN-GLOBAL-SERVICES-PVT-LTD-Noida-Sector-16-Noida-3-to-4-years-270219010073?src=premjobsearchDesk&sid=15517140096895&xp=4&px=45",".Net & Angular Developer","SYVEN GLOBAL SERVICES PVT LTD.","Noida(Sector-16 Noida)","c#     asp.net     .net     Angular","3 - 4 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization","Post Graduation Not Required","null","null"
"1551718007-4470","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-22","Acn-digital -analytics-cmt Analytics - Bangalore/chennai","https://www.naukri.com/job-listings-Acn-digital-analytics-cmt-Analytics-Bangalore-chennai-Accenture-Delhi-NCR-Bengaluru-Gurgaon-1-to-6-years-290119003394?src=premjobsearchDesk&sid=15517179373056&xp=13&px=22","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551718692-4715","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-3","Frontend UI Engineer - Html5/css3","https://www.naukri.com/job-listings-Frontend-UI-Engineer-Html5-css3-TalentStack-The-Hiring-Story-Bengaluru-1-to-5-years-040319002316?src=premjobsearchDesk&sid=15517186371767&xp=18&px=3","Frontend UI Engineer - Html5/css3","TalentStack/The Hiring Story","Bengaluru","Photoshop     Illustrator     Html5     CSS     Visual Design     Javascript     React.Js     DOM     Sketching     Rendering","1 - 5 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551716831-4044","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-30","Embedded C/c++ with Multimedia Camera,audio(must)","https://www.naukri.com/job-listings-Embedded-C-c-with-Multimedia-Camera-audio-must-Toppersedge-com-India-Pvt-Ltd-Bengaluru-8-to-13-years-140718001539?src=premjobsearchDesk&sid=15517168273353&xp=39&px=30","Embedded C/c++ with Multimedia Camera,audio(must)","Toppersedge.com India Pvt Ltd","Bengaluru","Embedded C     C++     Embedded Software     Software Engineering     Multimedia","8 - 13 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","null","null","null","null"
"1551718719-4725","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-3","Natural Language Processing Engineer - Machine Learning/data Mining","https://www.naukri.com/job-listings-Natural-Language-Processing-Engineer-Machine-Learning-data-Mining-Engage-IT-Manpower-Bengaluru-4-to-9-years-040319900412?src=premjobsearchDesk&sid=15517186371767&xp=8&px=3","Natural Language Processing Engineer - Machine Learning/data Mining","Engage IT Manpower","Bengaluru","Natural Language Processing     R     Pattern Recognition     Data Analysis     Analytics     Machine Learning     Data Mining     Predictive Modeling     Statistical Analysis     Data Structures","4 - 9 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     Analytics & Business Intelligence","Analytics & BI","Data Analyst","Permanent Job, Full Time","B.Tech/B.E. - Computers, B.Sc - Computers, Statistics, B.A - Statistics","Any Postgraduate - Any Specialization","null","null"
"1551717243-4198","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-27",".Net Developer - Asp/c#/visual Studio","https://www.naukri.com/job-listings-Net-Developer-Asp-c-visual-Studio-Career-Infosystem-Delhi-NCR-Gurgaon-8-to-12-years-270219006953?src=premjobsearchDesk&sid=15517172256886&xp=35&px=27",".Net Developer - Asp/c#/visual Studio","Career Infosystem","Delhi NCR,    Gurgaon","ASP.Net     Windows Forms     C#     SQL Server     HTML     C#.Net     MVC     Javascript     Visual Studio     JQuery     Java script     XSL     XML     CSS     ASP     T - SQL     Entity     CSLA     JSON","8 - 12 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Computers","Any Postgraduate - Any Specialization","null","null"
"1551713794-3221","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-47","Ruby on Rails Developer - Cloud Computing","https://www.naukri.com/job-listings-Ruby-on-Rails-Developer-Cloud-Computing-Emploi-Consultancy-Gurgaon-Gurugram-2-to-7-years-221118900614?src=premjobsearchDesk&sid=15517137072445&xp=12&px=47","Ruby on Rails Developer - Cloud Computing","Emploi Consultancy","Gurgaon,    Gurugram","Ruby on Rails Developer     Cloud Computing     Cloud     Ruby on Rails     Node.JS     AngularJS     OpenLayers     MongoDB     CoffeeScript     REST and SOAP web services     HTML5     CSS","2 - 7 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization, Computers","Any Postgraduate - Any Specialization","null","null"
"1551713205-3033","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-50","Product Manager - Mobile App - Iim/isb/iit","https://www.naukri.com/job-listings-Product-Manager-Mobile-App-Iim-isb-iit-Emploi-Consultancy-Bengaluru-2-to-5-years-270219900079?src=premjobsearchDesk&sid=15517132285375&xp=50&px=50","Product Manager - Mobile App - Iim/isb/iit","Emploi Consultancy","Bengaluru","Product Manager     Product Management     product strategy     mobile apps     Online Product Management","2 - 5 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Mobile","Programming & Design","Product Manager","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","MBA/PGDM - Any Specialization","null","null"
"1551718126-4513","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-21","Assistant Manager/ Manager- Model Risk Management","https://www.naukri.com/job-listings-Assistant-Manager-Manager-Model-Risk-Management-Asterion-Consulting-Pvt-Ltd-Bengaluru-3-to-7-years-250219000527?src=premjobsearchDesk&sid=15517180731854&xp=20&px=21","null","null","null","null","null","null","null","null","Analytics & BI","Analytics Manager","Permanent Job, Full Time","null","null","null","null"
"1551715165-3692","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-37","ECM Architect - Bangalore","https://www.naukri.com/job-listings-ECM-Architect-Bangalore-Acceleration-StaffingVendor-Management-India-Pvt-Ltd-Bengaluru-10-to-13-years-250219006788?src=premjobsearchDesk&sid=15517151687796&xp=41&px=37","ECM Architect - Bangalore","Acceleration StaffingVendor Management (India) Pvt Ltd.  hiring for Leading company","Bengaluru","ecm     opentext content     web report     web services     otic     occ     sap     Content server     Server v16.x","10 - 13 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","M.Tech - Any Specialization, Computers, Electronics/Telecommunication","null","null"
"1551717686-4355","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-24","Java Architect - Spring/hibernate/j2ee","https://www.naukri.com/job-listings-Java-Architect-Spring-hibernate-j2ee-SquareRoot-Bengaluru-12-to-16-years-280219004792?src=premjobsearchDesk&sid=15517176561506&xp=28&px=24","Java Architect - Spring/hibernate/j2ee","SquareRoot","Bengaluru","Java     Spring     Hibernate     J2Ee     Algorithms     Multithreading     MySQL     TDD     Data Structures     Web Technologies","12 - 16 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Technical Architect","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551714069-3311","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45","PHP Developer - Ecommerce Applications","https://www.naukri.com/job-listings-PHP-Developer-Ecommerce-Applications-Big-Worth-Chennai-Chennai-4-to-6-years-270219009252?src=premjobsearchDesk&sid=15517140096895&xp=22&px=45","PHP Developer - Ecommerce Applications","Big Worth, Chennai","Chennai","Front End     Backend     Data Security     Continuous Improvement     PHP","4 - 6 yrs","Not Disclosed by Recruiter","Internet  /    Ecommerce","Functional Area:     IT Software - DBA   ,     Datawarehousing","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551718296-4574","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-20","UI - Lead , Senior Engineer, Engineer","https://www.naukri.com/job-listings-UI-Lead-Senior-Engineer-Engineer-Indecomm-Global-Services-India-Pvt-Ltd-Bengaluru-4-to-8-years-250219901613?src=premjobsearchDesk&sid=15517182064933&xp=9&px=20","null","null","null","null","null","null","null","Email :Sandhya.K@Indecomm.com","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","null","null","null","null"
"1551717564-4311","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-25","Quant Strategist/ Developer - Quantitative Trading Firm","https://www.naukri.com/job-listings-Quant-Strategist-Developer-Quantitative-Trading-Firm-Madison-Cube-Recruitment-PAN-India-0-to-4-years-280219000425?src=premjobsearchDesk&sid=15517175139075&xp=22&px=25","Quant Strategist/ Developer - Quantitative Trading Firm","Madison Cube Recruitment","PAN India","data structures     algorithms     c++     programming     financial markets","0 - 4 yrs","Not Disclosed by Recruiter","Banking  /    Financial Services  /    Broking","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551718668-4705","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-3","Software Architect - Node.js/microservices Architecture","https://www.naukri.com/job-listings-Software-Architect-Node-js-microservices-Architecture-TalentStack-The-Hiring-Story-Noida-5-to-9-years-040319002185?src=premjobsearchDesk&sid=15517186371767&xp=28&px=3","Software Architect - Node.js/microservices Architecture","TalentStack/The Hiring Story","Noida","Software Architecture     Architectural Design     Product Development     Development Planning     HP Data Protector     Front End     Microservices Architecture     JavaScript","5 - 9 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Technical Architect","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551713696-3188","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-47","SAP Accountant - FI/ CO/ SD Modules","https://www.naukri.com/job-listings-SAP-Accountant-FI-CO-SD-Modules-Confidential-Sweden-EU-8-to-10-years-091018901460?src=premjobsearchDesk&sid=15517137072445&xp=45&px=47","SAP Accountant - FI/ CO/ SD Modules","Confidential","Sweden,    EU","Finance     Accounting     Auditing     SAP FICO     Financial Control     Co     SAP FI     Financial Analysis     MS Office     Office Skills","8 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - ERP   ,     CRM","System Design/Implementation/ERP/CRM","Functional Outside Consultant","Permanent Job, Full Time","Any Graduate - Any Specialization","null","null","null"
"1551714952-3618","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-39","Salesforce Development Leads for Hyd/bang/ggn/mum with Top Leading Cli","https://www.naukri.com/job-listings-Salesforce-Development-Leads-for-Hyd-bang-ggn-mum-with-Top-Leading-Cli-Mastermind-Network-Delhi-NCR-Mumbai-Bengaluru-Hyderabad-4-to-9-years-100119005611?src=premjobsearchDesk&sid=15517148851430&xp=15&px=39","null","null","null","null","null","null","null","null","Reference Id:","Send me Jobs like this","null","null","null","null","null"
"1551715160-3690","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-37","Manager - Software Development","https://www.naukri.com/job-listings-Manager-Software-Development-Clearway-Advisors-Pune-8-to-13-years-250219006387?src=premjobsearchDesk&sid=15517151687796&xp=43&px=37","Manager - Software Development","Clearway Advisors  hiring for A Client","Pune","technical design     team leading     software development     project delivery     career development","8 - 13 yrs","INR     14,00,000 - 24,00,000 P.A.","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Project Management","Project Manager-IT/Software","Permanent Job, Full Time","null","null","null","null"
"1551717911-4433","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-22","Delivery Project Lead","https://www.naukri.com/job-listings-Delivery-Project-Lead-Mphasis-Limited-Bengaluru-7-to-10-years-280219900587?src=premjobsearchDesk&sid=15517179373056&xp=50&px=22","Delivery Project Lead","Mphasis Limited","Bengaluru","J2Ee     SQL     Apache     Python     Manager Quality Assurance     Data structures     Agile     Maven     Unit testing     Manager Quality Control","7 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Project Lead","Permanent Job, Full Time","B.Tech/B.E. - Computers","Post Graduation Not Required","null","null"
"1551716104-3877","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-34","Urgent Requirement // Front end Lead// Globallogic // BLR","https://www.naukri.com/job-listings-Urgent-Requirement-Front-end-Lead-Globallogic-BLR-Globallogic-India-Ltd-Bengaluru-7-to-10-years-260219009347?src=premjobsearchDesk&sid=15517158624086&xp=6&px=34","null","null","null","null","null","null","null","Telephone:08042577035","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","null","null","null","null"
"1551714800-3563","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-40","Channels Technology Development Lead","https://www.naukri.com/job-listings-Channels-Technology-Development-Lead-Citicorp-Services-India-Pvt-Ltd-Pune-14-to-18-years-280219900494?src=premjobsearchDesk&sid=15517147421076&xp=20&px=40","Channels Technology Development Lead","Citicorp Services India Pvt Ltd","Pune","Networking     Project management     SDLC     PMP     Information technology     Release management     Performance management     Relationship management     SEZ     Development Lead","14 - 18 yrs","Not Disclosed by Recruiter","Banking  /    Financial Services  /    Broking","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","B.Tech/B.E. - Computers","Post Graduation Not Required","null","null"
"1551716958-4093","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-29","Immediate Opening For FULL Stack Angular/java Developer - Mumbai","https://www.naukri.com/job-listings-Immediate-Opening-For-FULL-Stack-Angular-java-Developer-Mumbai-BCT-Consulting-Private-Limited-Mumbai-5-to-9-years-260219008452?src=premjobsearchDesk&sid=15517169583371&xp=40&px=29","Immediate Opening For FULL Stack Angular/java Developer - Mumbai","BCT Consulting Private Limited","Mumbai","Java     Web Services     Rest","5 - 9 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","null","null","null","null"
"1551718795-4752","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-2","SSD Firmware Engineer (Top Five Semicon Co in the World)","https://www.naukri.com/job-listings-SSD-Firmware-Engineer-Top-Five-Semicon-Co-in-the-World-Mulya-Consulting-Hyderabad-3-to-6-years-040319003491?src=premjobsearchDesk&sid=15517187698335&xp=31&px=2","SSD Firmware Engineer (Top Five Semicon Co in the World)","Mulya Consulting  hiring for Top Five Semiconductor Company in the world","Hyderabad","c     c++     systemc     sata     python     sas     tcl     firmware     pcie     ssd     nvme     cache layer     ftl     nand     dram     soc     ide     slick edit     sourcepoint     realview     logic analyzer     bus analyzer     flash translation layer     solid state drive     mqx","3 - 6 yrs","Not Disclosed by Recruiter","Semiconductors  /    Electronics","Functional Area:     IT Software - Embedded   ,     EDA   ,     VLSI   ,     ASIC   ,     Chip Design","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","M.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Specialization","null","null"
"1551713324-3071","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-50","Engineering Director","https://www.naukri.com/job-listings-Engineering-Director-Simply-People-Bengaluru-15-to-20-years-270219002155?src=premjobsearchDesk&sid=15517132285375&xp=12&px=50","Engineering Director","Simply People","Bengaluru","Continuous Delivery     Business Services     Service Quality     Continuous Improvement     Software Engineering","15 - 20 yrs","Not Disclosed by Recruiter","Banking  /    Financial Services  /    Broking","Functional Area:     Top Management","CEO/MD/Director","Permanent Job, Full Time","null","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551716090-3875","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-34","Full Stack Developer","https://www.naukri.com/job-listings-Full-Stack-Developer-MUSIGMA-BUSINESS-SOLUTIONS-PRIVATE-LIMITED-Bengaluru-Whitefield-3-to-5-years-260219009233?src=premjobsearchDesk&sid=15517158624086&xp=8&px=34","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551717442-4268","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-26","Citi Private Bank Applications Development","https://www.naukri.com/job-listings-Citi-Private-Bank-Applications-Development-Citicorp-Services-India-Pvt-Ltd-Pune-4-to-6-years-270219900680?src=premjobsearchDesk&sid=15517173726811&xp=15&px=26","Citi Private Bank Applications Development","Citicorp Services India Pvt Ltd","Pune","Oracle     Unix     XML     HTML     Struts     Core Java     JSP     Web services     EJB     Weblogic","4 - 6 yrs","Not Disclosed by Recruiter","Banking  /    Financial Services  /    Broking","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Computers","M.Tech - Computers","null","null"
"1551713379-3090","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-49","Principal Engineer - Big Data/hadoop","https://www.naukri.com/job-listings-Principal-Engineer-Big-Data-hadoop-Talpro-Delhi-NCR-Bengaluru-5-to-10-years-270219002533?src=premjobsearchDesk&sid=1551713386127&xp=43&px=49","Principal Engineer - Big Data/hadoop","Talpro","Delhi NCR,    Bengaluru","Principal Engineer     Big Data     Hadoop     Data Structures     Algorithms     Design Patterns     design","5 - 10 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - DBA   ,     Datawarehousing","Programming & Design","Database Architect/Designer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","MCA - Computers","null","null"
"1551717556-4308","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-25","Algorithmic Trading Professional","https://www.naukri.com/job-listings-Algorithmic-Trading-Professional-Madison-Cube-Recruitment-PAN-India-0-to-4-years-280219000402?src=premjobsearchDesk&sid=15517175139075&xp=25&px=25","Algorithmic Trading Professional","Madison Cube Recruitment","PAN India","data structures     algorithms     c++     design patterns     os     analytical skills     capital market     quantitative strategist     Algorithmic Trading","0 - 4 yrs","Not Disclosed by Recruiter","Banking  /    Financial Services  /    Broking","Functional Area:     Financial Services   ,     Banking   ,     Investments   ,     Insurance","Financial Services/Stock Broking","Broker/Trader","Permanent Job, Full Time","B.Tech/B.E. - Computers","Any Postgraduate - Any Specialization","null","null"
"1551718732-4730","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-3","Engineering Manager - Scala/mongodb/docker","https://www.naukri.com/job-listings-Engineering-Manager-Scala-mongodb-docker-Careator-Technologies-Private-Limited-Bengaluru-10-to-15-years-040319900459?src=premjobsearchDesk&sid=15517186371767&xp=3&px=3","Engineering Manager - Scala/mongodb/docker","Careator Technologies Private Limited","Bengaluru","Redis     Project Management     SCOPE     Engineering Management     Node.Js     Technical Leadership     Rabbitmq     Akka     Quality Standards     Team Management","10 - 15 yrs","Not Disclosed by Recruiter","Accounting  /    Finance","Functional Area:     IT Software - Application Programming   ,     Maintenance","Project Management","Project Manager-IT/Software","Permanent Job, Full Time","B.Tech/B.E. - Computers","MS/M.Sc(Science) - Computers, MCA - Computers, M.Tech - Computers","null","null"
"1551717604-4325","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-25","Opportunity for C++ Developer with Oracle Development team - Blr/tvm","https://www.naukri.com/job-listings-Opportunity-for-C-Developer-with-Oracle-Development-team-Blr-tvm-Oracle-India-Pvt-Ltd-Bengaluru-6-to-11-years-280219002307?src=premjobsearchDesk&sid=15517175139075&xp=8&px=25","null","null","null","null","null","null","null","null","null","Send me Jobs like this","null","null","null","null","null"
"1551714611-3498","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-41","Core Java Developer (mnc)","https://www.naukri.com/job-listings-Core-Java-Developer-mnc-Resource-Weaver-Bengaluru-Chennai-4-to-9-years-280219901272?src=premjobsearchDesk&sid=15517145916131&xp=35&px=41","Core Java Developer (mnc)","Resource Weaver","Bengaluru,    Chennai","Hibernate     Spring Boot     Core Java     Algorithms     Web Services     Data Structures     Problem Solving     Corejava     Core - Java     Spring     API     Java","4 - 9 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","M.Tech - Any Specialization","null","null"
"1551718102-4504","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-21","Peoplesoft Developer","https://www.naukri.com/job-listings-Peoplesoft-Developer-Fastenal-India-Sourcing-IT-Procurement-Pvt-Ltd-Bengaluru-3-to-5-years-220219000323?src=premjobsearchDesk&sid=15517180731854&xp=29&px=21","Peoplesoft Developer","Fastenal India Sourcing IT & Procurement Pvt Ltd","Bengaluru","Application Engine     Peoplecode     SQR     Component Interface     NVision     PeopleSoft Fscm     Application Design     PeopleSoft Finance     Integration Broker     SQL","3 - 5 yrs","Best As Per Market Standards","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","null","null","null","null"
"1551716125-3881","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-34","Sr. Principal Scientist MSAT - Upstream","https://www.naukri.com/job-listings-Sr-Principal-Scientist-MSAT-Upstream-Syngene-International-Limited-Bengaluru-15-to-18-years-260219009576?src=premjobsearchDesk&sid=15517158624086&xp=2&px=34","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1551716733-4010","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-31","Full Stack Developer/ Greater Noida","https://www.naukri.com/job-listings-Full-Stack-Developer-Greater-Noida-Knack-Consulting-Services-Pvt-Ltd-Greater-Noida-3-to-5-years-270219000002?src=premjobsearchDesk&sid=15517166815011&xp=23&px=31","Full Stack Developer/ Greater Noida","Knack Consulting Services Pvt Ltd","Greater Noida","HTML     HTML5     Java     Javascript     React.js     GIT     Mysql","3 - 5 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","Job Title  Full Stack Developer
 
 Job Location  Greater Noida
 
 Shifts  Rotational
 
 Experience Required  3 -5 Yrs
 
  
 
 Skill Required
 
 -            Front end- HTML, HTML5, Java, JavaScript, J Query, CSS3
 
 -            Backend- React.js, Angular2
 
 -            Database- MySQL, MongoDB
 
 -            Debugging/Version Control- GIT, Grunt, Xdebug, Subversion","null"
"1551714046-3303","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-45","Scrum Master-gurgaon","https://www.naukri.com/job-listings-Scrum-Master-gurgaon-Next-Step-Services-Private-Limited-Gurgaon-10-to-14-years-130219007201?src=premjobsearchDesk&sid=15517140096895&xp=30&px=45","Scrum Master-gurgaon","Next Step Services Private Limited  hiring for A leading MNC","Gurgaon","Java     J2Ee     Agile     Web Technologies     Waterfall     Scrum Master","10 - 14 yrs","Best in the industry","Insurance","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Team Lead/Technical Lead","Permanent Job, Full Time","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551713971-3280","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-46","Chief Technology Officer","https://www.naukri.com/job-listings-Chief-Technology-Officer-Human-Capital-for-Third-Sector-Hubli-10-to-20-years-270219007309?src=premjobsearchDesk&sid=1551713857191&xp=3&px=46","Chief Technology Officer","Human Capital for Third Sector","Hubli","data analytics     data mining     technology solutions     product innovation     it management     computer science     Software     IT","10 - 20 yrs","Not Disclosed by Recruiter","NGO  /    Social Services  /    Regulators  /    Industry Associations","Functional Area:     Other","Other","Permanent Job, Full Time","null","Any Graduate - Any Specialization","Any Postgraduate - Any Specialization","null","null"
"1551718646-4697","https://www.naukri.com/premium-jobs-for-iit-engineering-graduates-in-all-jobs-3","Frontend Developer - Html/css3","https://www.naukri.com/job-listings-Frontend-Developer-Html-css3-TalentStack-The-Hiring-Story-Bengaluru-2-to-5-years-040319002108?src=premjobsearchDesk&sid=15517186371767&xp=36&px=3","Frontend Developer - Html/css3","TalentStack/The Hiring Story","Bengaluru","html     css     javascript     react.js     rest     front end     web technologies     user experience     service design     Frontend Developer","2 - 5 yrs","Not Disclosed by Recruiter","IT-Software  /    Software Services","Functional Area:     IT Software - Application Programming   ,     Maintenance","Programming & Design","Software Developer","Permanent Job, Full Time","B.Tech/B.E. - Any Specialization","Any Postgraduate - Any Specialization","null","null"
